Label,Time,XPos,YPos,ZPos,XRot,YRot,ZRot
Head,20.04,-0.2931098,1.372904,-7.641134,77.37138,55.77501,1.934261
Head,20.28,-0.2692944,1.383252,-7.651263,80.46159,37.73355,343.8858
Head,20.5,-0.2185151,1.400653,-7.667494,76.14471,8.660863,319.9419
Head,20.72,-0.1292176,1.389953,-7.72037,73.2612,17.30021,334.6806
Head,20.96,-0.03683326,1.324182,-7.796894,76.60316,49.36753,7.240354
Head,21.18,0.0075262,1.25419,-7.839612,75.33817,58.74304,7.85843
Head,21.42,0.01532667,1.193024,-7.852424,78.97031,54.02947,357.466
Head,21.64,0.00423117,1.172148,-7.854845,72.03064,65.04873,7.063311
Head,21.88,-0.00873312,1.173282,-7.860518,66.99606,75.6367,10.85452
Head,22.1,-0.0004663058,1.171831,-7.859315,71.58936,74.9704,10.38338
Head,22.34,0.001221687,1.17167,-7.857763,72.74516,76.68402,11.86881
Head,22.56,0.003941584,1.171326,-7.854883,75.07473,84.30461,18.81877
Head,22.8,0.003455654,1.171587,-7.853197,74.82549,88.89673,23.06555
Head,23.02,0.005217615,1.171208,-7.851877,75.33541,91.80209,25.34147
Head,23.24,0.001658756,1.169537,-7.854195,71.62959,84.70765,17.15167
Head,23.48,0.002275679,1.167418,-7.85438,71.07392,85.60491,15.76276
Head,23.72,0.003485106,1.167297,-7.853102,71.98621,89.40108,19.09301
Head,23.94,0.002236314,1.164518,-7.850286,68.90512,91.72891,18.41978
Head,24.16,0.001534112,1.153715,-7.839804,61.22745,101.4359,18.52041
Head,24.38,-0.005698819,1.142814,-7.839413,51.10775,97.45083,7.038052
Head,24.62,-0.006478835,1.14457,-7.841504,50.84122,93.10583,3.048892
Head,24.84,-0.006811853,1.145123,-7.843885,50.90673,90.30515,0.4817428
Head,25.08,-0.005970035,1.144374,-7.84376,50.84178,90.99715,1.152057
Head,25.3,-0.006073412,1.145585,-7.84496,51.30962,89.49841,359.8827
Head,25.54,-0.006816123,1.148746,-7.845887,53.01975,86.68519,357.8649
Head,25.76,-0.005440552,1.148937,-7.845319,53.78938,87.35902,358.2338
Head,26,-0.005002696,1.149354,-7.845573,53.48322,86.99937,358.0769
Head,26.22,-0.003855899,1.14948,-7.845041,54.27395,87.8517,358.5226
Head,26.46,0.001356997,1.152459,-7.84262,59.24548,91.09377,1.081144
Head,26.68,0.005996615,1.158485,-7.841333,66.44259,89.2133,357.3491
Head,26.92,0.007289123,1.159133,-7.840442,68.25158,89.90857,357.5836
Head,27.14,0.01003298,1.162557,-7.839956,73.14269,86.39224,353.9996
Head,27.38,0.01025293,1.162418,-7.840033,73.63148,85.97067,353.4617
Head,27.6,0.01004491,1.162171,-7.839516,73.63314,86.93228,354.3708
Head,27.84,0.009835683,1.161761,-7.839385,73.75797,87.05896,354.4128
Head,28.06,0.009961523,1.161686,-7.839317,73.84438,86.92085,354.2379
Head,28.28,0.009763207,1.161782,-7.839431,73.73161,86.66489,353.9794
Head,28.52,0.0100624,1.161751,-7.839336,73.80598,86.70221,353.9528
Head,28.74,0.009836674,1.161607,-7.839458,73.74595,86.71082,353.9693
Head,28.98,0.0098713,1.161501,-7.839471,73.63765,86.71047,353.918
Head,29.2,0.009382028,1.161221,-7.839461,73.66798,87.14466,354.2513
Head,29.44,0.009694293,1.160994,-7.838564,73.99174,89.6804,356.723
Head,29.66,0.009836804,1.160873,-7.837396,74.10904,92.28688,359.232
Head,29.9,0.008174714,1.163069,-7.83711,73.62465,95.25471,1.248654
Head,30.12,0.01073065,1.160307,-7.836732,73.15704,99.38299,4.625835
Head,30.36,0.018882,1.152973,-7.815602,74.7347,112.9131,19.57185
Head,30.58,0.02642903,1.154347,-7.770139,74.49578,111.5103,19.20944
Head,30.82,0.0283436,1.154547,-7.749521,73.33965,114.4898,21.70211
Head,31.04,0.02389367,1.155434,-7.754851,72.76288,109.9433,16.28313
Head,31.26,0.02419002,1.155632,-7.754954,72.79754,110.4441,16.72698
Head,31.5,0.02341805,1.155721,-7.754851,72.70942,110.6788,17.10998
